門檻%,最短區間,平均段數,最少段數,最多段數,中位段長,實用
3.0,5,28.1,23,33,13.0,
3.0,10,13.6,10,17,22.0,✔
3.0,15,8.7,6,11,42.5,✔
4.0,5,23.3,18,29,16.0,
4.0,10,12.8,8,16,24.0,✔
4.0,15,8.6,6,11,42.0,✔
5.0,5,20.9,16,25,16.0,
5.0,10,13.0,10,16,24.0,✔
5.0,15,9.0,8,10,42.0,✔
6.0,5,17.6,12,23,17.0,
6.0,10,11.9,10,14,25.0,✔
6.0,15,8.6,8,10,42.0,✔
7.000000000000001,5,14.6,11,19,23.0,✔
7.000000000000001,10,11.2,9,14,30.5,✔
7.000000000000001,15,8.3,7,10,42.0,✔
8.0,5,11.8,6,19,26.0,✔
8.0,10,9.3,6,14,31.0,✔
8.0,15,7.7,6,10,44.0,
10.0,5,8.0,4,17,48.0,
10.0,10,7.1,4,12,48.0,
10.0,15,6.2,4,10,48.0,
12.0,5,6.1,4,13,80.5,
12.0,10,5.7,4,10,80.5,
12.0,15,5.2,4,8,80.5,
