分析,項目,前瞻週,n,win%,mean%,med%
A_象限狀態,領先,4,1296,47.4,-0.01,-0.24
A_象限狀態,改善,4,1663,44.3,-0.22,-0.47
A_象限狀態,轉弱,4,1323,47.4,-0.04,-0.22
A_象限狀態,落後,4,1568,47.4,-0.06,-0.19
A_象限狀態,領先,8,1291,46.0,-0.05,-0.5
A_象限狀態,改善,8,1626,43.8,-0.27,-0.74
A_象限狀態,轉弱,8,1318,46.4,-0.38,-0.45
A_象限狀態,落後,8,1555,44.9,-0.07,-0.65
A_象限狀態,領先,13,1288,45.0,-0.46,-0.93
A_象限狀態,改善,13,1583,44.9,-0.23,-0.86
A_象限狀態,轉弱,13,1310,45.5,-0.34,-0.77
A_象限狀態,落後,13,1534,44.0,-0.29,-0.86
A2_距離過濾,領先,8,274,46.4,0.3,-0.54
A2_距離過濾,改善,8,133,42.9,-0.29,-0.64
A2_距離過濾,轉弱,8,118,42.4,-0.58,-1.06
A2_距離過濾,落後,8,320,42.2,-0.11,-0.65
A3_原始動能,13週贏SPY,8,2650,45.8,-0.33,-0.58
A3_原始動能,13週輸SPY,8,3140,44.7,-0.08,-0.62
B_象限轉換,落後→改善,4,778,45.6,-0.16,-0.37
B_象限轉換,落後→改善,8,772,46.2,-0.08,-0.51
B_象限轉換,落後→改善,13,753,45.0,-0.11,-0.66
B_象限轉換,改善→領先,4,216,51.4,0.06,0.15
B_象限轉換,改善→領先,8,214,46.3,-0.05,-0.4
B_象限轉換,改善→領先,13,214,43.5,-0.39,-1.16
B_象限轉換,轉弱→領先,4,433,44.3,-0.5,-0.5
B_象限轉換,轉弱→領先,8,431,45.7,-0.46,-0.59
B_象限轉換,轉弱→領先,13,428,44.6,-0.76,-1.03
B_象限轉換,落後→領先,4,209,46.4,0.18,-0.27
B_象限轉換,落後→領先,8,209,45.0,0.04,-0.8
B_象限轉換,落後→領先,13,209,42.6,-0.65,-1.41
B_象限轉換,領先→轉弱,4,648,47.1,-0.16,-0.27
B_象限轉換,領先→轉弱,8,648,46.5,-0.34,-0.57
B_象限轉換,領先→轉弱,13,643,45.1,-0.55,-0.78
B_象限轉換,轉弱→落後,4,223,45.3,-0.39,-0.48
B_象限轉換,轉弱→落後,8,223,43.0,-0.33,-0.95
B_象限轉換,轉弱→落後,13,221,44.8,-0.57,-1.31
B_象限轉換,改善→落後,4,563,48.8,0.12,-0.15
B_象限轉換,改善→落後,8,550,46.5,0.05,-0.32
B_象限轉換,改善→落後,13,543,45.7,0.13,-0.57
B_象限轉換,領先→落後,4,209,45.0,-0.37,-0.47
B_象限轉換,領先→落後,8,209,39.7,-0.23,-1.1
B_象限轉換,領先→落後,13,209,40.2,-0.88,-1.36
C_確認比較,落後→改善_立刻,8,772,46.2,-0.08,-0.51
C_確認比較,落後→改善_等1週,8,408,42.2,-0.27,-0.8
C_確認比較,改善→領先_立刻,8,214,46.3,-0.05,-0.4
C_確認比較,改善→領先_等1週,8,94,41.5,-0.47,-0.57
D_族群內選股,RS最強-籃子,8,243,51.9,0.44,0.33
D_族群內選股,RS最弱-籃子,8,243,54.7,1.29,0.85
E_組合回測,輪動組合(含risk-off開關),0,393,157.2,13.4,-30.5
E_組合回測,輪動組合(無開關),0,393,187.0,15.07,-35.7
E_組合回測,SPY買進持有,0,393,225.8,17.02,-31.8
